Name, RA, Dec
AllSS_123, 9.789442e+01, 1.641207e+01  
AllSS_124, 2.064732e+01, 1.616684e+01  
AllSS_125, 2.190499e+02, 1.614540e+01  
AllSS_126, 4.628310e+01, 1.603229e+01  
AllSS_127, 7.855242e+01, 1.602152e+01  
AllSS_128, 3.188176e+02, 1.572542e+01  
AllSS_129, 3.061066e+02, 1.566266e+01  
AllSS_130, 1.974650e+02, 1.541459e+01  
AllSS_131, 3.315151e+02, 1.533016e+01  
AllSS_132, 2.401649e+02, 1.471608e+01  
AllSS_133, 8.688976e+00, 1.450410e+01  
AllSS_134, 2.935812e+02, 1.408210e+01  
AllSS_135, 2.613134e+02, 1.387266e+01  
AllSS_136, 5.712270e+01, 1.335448e+01  
AllSS_137, 3.432937e+02, 1.317716e+01  
AllSS_138, 3.567603e+02, 1.202196e+01  
AllSS_139, 1.411668e+02, 1.124908e+01  
AllSS_140, 1.292416e+02, 1.097608e+01  
AllSS_141, 1.533854e+02, 1.085595e+01  
AllSS_142, 2.823061e+02, 1.074920e+01  
AllSS_143, 2.092396e+02, 1.056820e+01  
AllSS_144, 1.179278e+02, 1.038994e+01  
AllSS_145, 8.873644e+01, 9.892287e+00  
AllSS_146, 1.068712e+02, 9.806020e+00  
AllSS_147, 1.655427e+02, 9.708795e+00  
AllSS_148, 2.300658e+02, 9.607215e+00  
AllSS_149, 6.906346e+01, 9.596974e+00  
AllSS_150, 2.497844e+02, 8.529002e+00  
AllSS_151, 1.772106e+02, 8.024236e+00  
AllSS_152, 3.950576e+01, 7.920541e+00  
AllSS_153, 2.708730e+02, 7.654630e+00  
AllSS_154, 1.884376e+02, 6.583222e+00  
AllSS_154, 2.839065e+01, 6.573514e+00  
AllSS_156, 3.127383e+02, 6.181732e+00  
AllSS_157, 3.242991e+02, 5.469441e+00  
AllSS_158, 3.006411e+02, 5.367593e+00  
AllSS_159, 1.762128e+01, 5.063034e+00  
AllSS_160, 1.996576e+02, 4.515969e+00  
AllSS_161, 2.204780e+02, 4.478001e+00  
AllSS_162, 3.354580e+02, 4.246192e+00  
AllSS_163, 7.925821e+01, 3.832712e+00  
AllSS_164, 7.076148e+00, 3.413192e+00  
AllSS_165, 9.843625e+01, 3.017372e+00  
AllSS_166, 5.940763e+01, 2.999640e+00  
AllSS_167, 3.465299e+02, 2.722340e+00  
AllSS_168, 2.396696e+02, 2.669482e+00  
AllSS_169, 2.591700e+02, 2.645150e+00  
AllSS_170, 4.871824e+01, 2.213164e+00  
AllSS_171, 2.899553e+02, 2.065310e+00  
AllSS_172, 1.462913e+02, 1.288237e+00  
AllSS_173, 1.343511e+02, 1.083154e+00  
AllSS_174, 3.568142e+02, 1.003688e+00  
AllSS_175, 1.582661e+02, 5.252880e-01  
AllSS_176, 1.226779e+02, 2.801218e-01  
AllSS_177, 1.107579e+02, -4.621160e-01  
AllSS_178, 2.792883e+02, -8.975192e-01  
AllSS_179, 2.112631e+02, -9.068702e-01  
AllSS_180, 1.695466e+02, -1.270470e+00  
AllSS_181, 6.907110e+01, -2.262006e+00  
AllSS_182, 8.936875e+01, -2.354022e+00  
AllSS_183, 2.297510e+02, -2.729599e+00  
AllSS_184, 3.704496e+01, -2.742977e+00  
AllSS_185, 1.805004e+02, -3.099392e+00  
AllSS_186, 2.685617e+02, -3.398845e+00  
AllSS_187, 2.492954e+02, -3.609788e+00  
AllSS_188, 3.068718e+02, -3.720229e+00  
AllSS_189, 2.562333e+01, -4.582537e+00  
AllSS_190, 3.176926e+02, -4.624236e+00  
AllSS_191, 1.911739e+02, -4.748936e+00  
AllSS_192, 3.293672e+02, -5.401555e+00  
AllSS_193, 1.442236e+01, -6.351268e+00  
AllSS_194, 2.019512e+02, -6.373990e+00  
AllSS_195, 2.963257e+02, -7.134554e+00  
AllSS_196, 3.405296e+02, -7.245745e+00  
AllSS_197, 1.020659e+02, -7.675788e+00  
AllSS_198, 5.717134e+01, -7.688333e+00  
AllSS_199, 7.862149e+01, -7.888160e+00  
AllSS_200, 2.201303e+02, -8.325475e+00  
AllSS_201, 3.331132e+00, -8.513558e+00  
AllSS_202, 1.396408e+02, -8.647655e+00  
AllSS_203, 1.517809e+02, -8.734081e+00  
AllSS_204, 3.515732e+02, -9.188773e+00  
AllSS_205, 2.391826e+02, -9.426021e+00  
AllSS_206, 2.595410e+02, -9.450753e+00  
AllSS_207, 4.610244e+01, -9.503687e+00  
AllSS_208, 1.279598e+02, -9.589748e+00  
AllSS_209, 1.159199e+02, -9.743421e+00  
AllSS_210, 2.852459e+02, -1.017444e+01  
AllSS_211, 1.633405e+02, -1.076521e+01  
AllSS_212, 2.733946e+02, -1.284778e+01  
AllSS_213, 1.747283e+02, -1.288918e+01  
AllSS_214, 8.884774e+01, -1.301748e+01  
AllSS_215, 6.725031e+01, -1.338551e+01  
AllSS_216, 3.401709e+01, -1.341283e+01  
AllSS_217, 2.102080e+02, -1.390664e+01  
AllSS_218, 3.073635e+02, -1.427149e+01  
AllSS_219, 3.220930e+02, -1.438562e+01  
AllSS_220, 1.860565e+02, -1.492100e+01  
AllSS_221, 2.292597e+02, -1.533347e+01  
AllSS_222, 2.492894e+02, -1.544070e+01  
AllSS_223, 2.199192e+01, -1.558920e+01  
AllSS_224, 1.976383e+02, -1.644534e+01  
AllSS_225, 3.339095e+02, -1.678731e+01  
AllSS_226, 1.005415e+01, -1.774612e+01  
AllSS_227, 9.870269e+01, -1.777899e+01  
AllSS_228, 2.953812e+02, -1.810432e+01  
AllSS_229, 1.454462e+02, -1.848207e+01  
AllSS_230, 5.532218e+01, -1.865206e+01  
AllSS_231, 1.099673e+02, -1.879630e+01  
AllSS_232, 3.455421e+02, -1.892266e+01  
AllSS_233, 7.781657e+01, -1.922664e+01  
AllSS_234, 3.578681e+02, -1.922676e+01  
AllSS_235, 1.338416e+02, -1.969524e+01  
AllSS_236, 2.608769e+02, -1.997626e+01  
AllSS_237, 1.219849e+02, -2.004387e+01  
AllSS_238, 1.564633e+02, -2.007317e+01  
AllSS_239, 4.351282e+01, -2.059150e+01  
AllSS_240, 2.188818e+02, -2.112682e+01  
AllSS_241, 2.836817e+02, -2.116240e+01  
AllSS_242, 2.393041e+02, -2.168092e+01  
AllSS_243, 3.147345e+02, -2.235357e+01  
AllSS_244, 1.683655e+02, -2.236930e+01  
AllSS_245, 2.719258e+02, -2.340179e+01  
AllSS_246, 3.060812e+01, -2.410061e+01  
AllSS_247, 6.609041e+01, -2.440514e+01  
AllSS_248, 1.803499e+02, -2.473307e+01  
AllSS_249, 8.893021e+01, -2.483815e+01  
AllSS_250, 2.062507e+02, -2.488061e+01  
AllSS_251, 3.265511e+02, -2.599867e+01  
AllSS_252, 3.034219e+02, -2.634268e+01  
AllSS_253, 1.928419e+02, -2.636509e+01  
AllSS_254, 1.755700e+01, -2.661764e+01  
AllSS_255, 2.509255e+02, -2.712537e+01  
AllSS_256, 2.285570e+02, -2.781104e+01  
AllSS_257, 3.387325e+02, -2.854854e+01  
AllSS_258, 1.023437e+02, -2.857648e+01  
AllSS_259, 4.766249e+00, -2.890642e+01  
AllSS_260, 1.429239e+02, -2.892818e+01  
AllSS_261, 3.516500e+02, -2.956673e+01  
AllSS_262, 5.347844e+01, -2.986498e+01  
AllSS_263, 1.154837e+02, -2.991068e+01  
AllSS_264, 2.912790e+02, -3.012483e+01  
AllSS_265, 1.290649e+02, -3.025938e+01  
AllSS_266, 1.585989e+02, -3.054032e+01  
AllSS_267, 7.780587e+01, -3.065093e+01  
AllSS_268, 4.076291e+01, -3.140867e+01  
AllSS_269, 2.634257e+02, -3.185619e+01  
AllSS_270, 2.156266e+02, -3.261004e+01  
AllSS_271, 2.781612e+02, -3.297536e+01  
AllSS_272, 3.153854e+02, -3.345977e+01  
AllSS_273, 2.399975e+02, -3.355830e+01  
AllSS_274, 1.720636e+02, -3.376016e+01  
AllSS_275, 2.632757e+01, -3.488801e+01  
AllSS_276, 6.528223e+01, -3.542911e+01  
AllSS_277, 2.012087e+02, -3.549764e+01  
AllSS_278, 9.176134e+01, -3.578525e+01  
AllSS_279, 1.861093e+02, -3.589504e+01  
AllSS_280, 3.289133e+02, -3.738896e+01  
AllSS_281, 3.021112e+02, -3.773479e+01  
AllSS_282, 1.494825e+02, -3.814791e+01  
AllSS_283, 1.272159e+01, -3.825867e+01  
AllSS_284, 2.531971e+02, -3.898475e+01  
AllSS_285, 2.268194e+02, -3.940574e+01  
AllSS_286, 1.062596e+02, -3.941378e+01  
AllSS_287, 3.433719e+02, -3.956230e+01  
AllSS_288, 3.582081e+02, -3.984567e+01  
AllSS_289, 1.355597e+02, -4.016786e+01  
AllSS_290, 1.209596e+02, -4.059063e+01  
AllSS_291, 2.872248e+02, -4.150329e+01  
AllSS_292, 5.159579e+01, -4.168069e+01  
AllSS_293, 7.959189e+01, -4.179351e+01  
AllSS_294, 3.728089e+01, -4.199364e+01  
AllSS_295, 2.697740e+02, -4.215949e+01  
AllSS_296, 1.628994e+02, -4.258863e+01  
AllSS_297, 2.115549e+02, -4.374178e+01  
AllSS_298, 3.158603e+02, -4.448167e+01  
AllSS_299, 2.403786e+02, -4.505855e+01  
AllSS_300, 1.779185e+02, -4.525737e+01  
AllSS_301, 1.947221e+02, -4.576597e+01  
AllSS_302, 6.519219e+01, -4.635673e+01  
AllSS_303, 2.330485e+01, -4.701988e+01  
AllSS_304, 9.465673e+01, -4.722240e+01  
AllSS_305, 3.319682e+02, -4.853307e+01  
AllSS_306, 2.997646e+02, -4.873816e+01  
AllSS_307, 1.477586e+02, -4.923935e+01  
AllSS_308, 7.107794e+00, -4.971623e+01  
AllSS_309, 2.581065e+02, -4.973296e+01  
AllSS_310, 3.494973e+02, -5.031784e+01  
AllSS_311, 1.118829e+02, -5.051233e+01  
AllSS_312, 2.246528e+02, -5.089501e+01  
AllSS_313, 1.300073e+02, -5.108561e+01  
AllSS_314, 2.794414e+02, -5.122829e+01  
AllSS_315, 4.084561e+01, -5.261350e+01  
AllSS_316, 7.945838e+01, -5.357766e+01  
AllSS_317, 1.646547e+02, -5.408486e+01  
AllSS_318, 2.055901e+02, -5.477963e+01  
AllSS_319, 3.160006e+02, -5.558501e+01  
AllSS_320, 1.845249e+02, -5.578212e+01  
AllSS_321, 5.850530e+01, -5.599196e+01  
AllSS_322, 2.425304e+02, -5.602598e+01  
AllSS_323, 2.270869e+01, -5.835629e+01  
AllSS_324, 9.773054e+01, -5.882472e+01  
AllSS_325, 2.940189e+02, -5.894005e+01  
AllSS_326, 2.669442e+02, -5.959708e+01  
AllSS_327, 3.368039e+02, -5.965518e+01  
AllSS_328, 1.446547e+02, -6.020567e+01  
AllSS_329, 4.290940e-01, -6.056937e+01  
AllSS_330, 1.206442e+02, -6.138735e+01  
AllSS_331, 2.220696e+02, -6.228018e+01  
AllSS_332, 4.420977e+01, -6.457367e+01  
AllSS_333, 7.415596e+01, -6.461599e+01  
AllSS_334, 1.674365e+02, -6.527924e+01  
AllSS_335, 1.951815e+02, -6.553657e+01  
AllSS_336, 3.145574e+02, -6.659165e+01  
AllSS_337, 2.474957e+02, -6.661201e+01  
AllSS_338, 2.830609e+02, -6.846189e+01  
AllSS_339, 1.898564e+01, -6.999349e+01  
AllSS_340, 1.005781e+02, -7.003474e+01  
AllSS_341, 3.455499e+02, -7.053594e+01  
AllSS_342, 1.369929e+02, -7.109463e+01  
AllSS_343, 2.167489e+02, -7.370777e+01  
AllSS_344, 6.002174e+01, -7.465003e+01  
AllSS_345, 1.732828e+02, -7.642893e+01  
AllSS_346, 2.595930e+02, -7.691654e+01  
AllSS_347, 3.125403e+02, -7.788894e+01  
AllSS_348, 1.084909e+02, -8.086219e+01  
AllSS_349, 1.532232e+01, -8.140078e+01  
AllSS_350, 2.190345e+02, -8.675233e+01  
AllSS_351, 53, -49.7 
AllSS_352, 151, -26 
AllSS_353, 94.5, -8 
AllSS_354, 108.5, -11.2 
AllSS_355, 265.8, -14 
AllSS_356, 314.8, -12 
AllSS_357, 50.5, 9.5 
AllSS_358, 349.9, 9.4 
AllSS_359, 341.7, 32.7 
AllSS_360, 254, 39 
AllSS_361, 50, 61.5 
