2.974459e+02, 8.599501e+01 
9.221792e+01, 8.225064e+01 
1.754522e+02, 8.078038e+01 
1.796444e+01, 7.813996e+01 
2.323520e+02, 7.677404e+01 
2.829536e+02, 7.506198e+01 
3.312383e+02, 7.495022e+01 
1.273097e+02, 7.327409e+01 
5.954651e+01, 7.314472e+01 
1.633449e+02, 7.012009e+01 
1.984258e+02, 6.994431e+01 
9.277972e+01, 6.949432e+01 
2.523839e+02, 6.761394e+01 
4.985892e+00, 6.751130e+01 
3.093725e+02, 6.643082e+01 
3.543712e+01, 6.640120e+01 
2.245719e+02, 6.452233e+01 
2.815507e+02, 6.401338e+01 
3.386353e+02, 6.384050e+01 
6.708951e+01, 6.274069e+01 
1.363519e+02, 6.270261e+01 
1.119164e+02, 6.171435e+01 
1.816869e+02, 6.057796e+01 
1.588147e+02, 5.932487e+01 
2.031530e+02, 5.813094e+01 
8.939626e+01, 5.793503e+01 
2.610982e+02, 5.758194e+01 
1.785546e+01, 5.729535e+01 
3.213495e+02, 5.617976e+01 
2.404711e+02, 5.616324e+01 
3.579498e+02, 5.610199e+01 
3.006468e+02, 5.589228e+01 
3.796638e+01, 5.587641e+01 
5.609758e+01, 5.392489e+01 
2.820810e+02, 5.283740e+01 
2.201283e+02, 5.282802e+01 
1.231861e+02, 5.218587e+01 
3.404784e+02, 5.218570e+01 
1.409137e+02, 5.150969e+01 
7.408519e+01, 5.090094e+01 
1.050097e+02, 5.046999e+01 
1.737700e+02, 4.990921e+01 
1.904040e+02, 4.910809e+01 
1.572548e+02, 4.836717e+01 
2.667503e+02, 4.737911e+01 
1.107158e+01, 4.640749e+01 
2.736405e+01, 4.636348e+01 
2.509909e+02, 4.621669e+01 
3.106876e+02, 4.608750e+01 
8.943060e+01, 4.575612e+01 
2.327542e+02, 4.571943e+01 
2.057616e+02, 4.569355e+01 
3.268880e+02, 4.506488e+01 
4.415937e+01, 4.494983e+01 
2.946020e+02, 4.449656e+01 
3.558988e+02, 4.442397e+01 
6.074426e+01, 4.297388e+01 
1.174578e+02, 4.167097e+01 
1.328796e+02, 4.152561e+01 
