UNIQ,PROBDENSITY,RA,DEC
1040,2.207529977052296e-08,56.24999999999999,12.024699180565822
1041,1.0761150121646524e-09,59.0625,14.477512185929925
1044,5.385870698225297e-11,61.87499999999999,16.957763300004142
1045,3.237669037930435e-12,64.6875,19.47122063449069
1046,4.378848708596213e-09,59.0625,19.47122063449069
1047,1.5436538730120493e-10,61.87499999999999,22.024312837042164
1053,1.8491999098349016e-08,59.0625,24.624318352164074
1088,3.2264337520461957e-13,67.5,22.024312837042164
1089,6.550965920544026e-14,70.3125,24.624318352164074
1090,8.046134348535306e-12,64.6875,24.624318352164074
1091,8.451667618588038e-13,67.5,27.279612735978095
1092,2.2058356560879102e-14,73.125,27.279612735978095
1093,1.0149580775202192e-14,75.9375,30.000000000000004
1094,1.776614433956821e-13,70.3125,30.000000000000004
1095,5.785284072179376e-14,73.125,32.797168295823646
1096,5.769157760554685e-10,61.87499999999999,27.279612735978095
1097,3.0182319886617017e-11,64.6875,30.000000000000004
1099,3.3706238228400884e-09,61.87499999999999,32.797168295823646
1100,3.501185931345475e-12,67.5,32.797168295823646
1101,7.345198542156223e-13,70.3125,35.68533471265205
1102,2.0706847394653167e-10,64.6875,35.68533471265205
1103,2.4441492033244008e-11,67.5,38.68218745348944
1104,5.810675066330747e-15,78.75,32.797168295823646
1105,3.9301361411912205e-15,81.5625,35.68533471265205
1106,2.5450254596734324e-14,75.9375,35.68533471265205
1107,1.4345740954589336e-14,78.75,38.68218745348944
1108,3.083087349488251e-15,84.375,38.68218745348944
1109,2.7403134411770013e-15,87.1875,41.810314895778596
1110,1.0012708464062253e-14,81.5625,41.810314895778596
1111,4.511228096397298e-15,87.00000000000001,44.99388015045712
1112,2.331762112662221e-13,73.125,38.68218745348944
1113,1.0489947505666734e-13,75.9375,41.810314895778596
1114,5.089177113604569e-12,70.3125,41.810314895778596
1115,4.785172691356085e-13,75.0,44.99388015045712
1116,2.496026190769677e-14,81.0,44.99388015045712
1117,9.012708009862723e-15,86.78571428571429,48.14120779436028
1118,8.11240516325282e-14,80.35714285714286,48.14120779436028
1119,2.2455288387823297e-14,86.53846153846155,51.25580694880489
1125,2.5021670588530454e-09,64.6875,41.810314895778596
1136,6.034282355700695e-11,69.0,44.99388015045712
1137,3.2682682441345006e-12,73.92857142857143,48.14120779436028
1138,1.3658350402403596e-09,67.5,48.14120779436028
1139,3.780463137983605e-11,72.6923076923077,51.25580694880489
1140,3.6468910789299155e-13,79.61538461538461,51.25580694880489
1141,7.121737589141744e-14,86.24999999999999,54.34091230386123
1142,2.3876205920039752e-12,78.75,54.34091230386123
1143,2.980682855706209e-13,85.9090909090909,57.39952353962293
1145,8.183037110510633e-10,71.25,54.34091230386123
1148,2.3960307554564895e-11,77.72727272727272,57.39952353962293
1149,1.6475428413395227e-12,85.5,60.434438844952275
1150,3.8462798367137507e-10,76.5,60.434438844952275
1151,1.227252246114971e-11,85.0,63.44828368030105
1154,2.2897192627721976e-09,19.6875,24.624318352164074
1155,5.372341599087575e-09,22.500000000000004,27.279612735978095
1158,1.679034085761985e-08,25.3125,30.000000000000004
1160,2.2560864377419782e-10,16.875,27.279612735978095
1161,5.015084514129634e-10,19.6875,30.000000000000004
1162,3.511688096396871e-11,14.062500000000002,30.000000000000004
1163,8.450004566950866e-11,16.875,32.797168295823646
1164,1.5242395762920582e-09,22.500000000000004,32.797168295823646
1165,6.452292646286683e-09,25.3125,35.68533471265205
1166,2.7973245849509586e-10,19.687500000000004,35.68533471265205
1167,1.3075237152998966e-09,22.500000000000004,38.68218745348944
1178,9.155868539353123e-09,25.312500000000004,41.810314895778596
1184,2.2769219918979922e-11,11.249999999999998,32.797168295823646
1185,5.2173502990198186e-11,14.062499999999998,35.68533471265205
1186,3.769807107420122e-11,8.4375,35.68533471265205
1187,7.019643269216213e-11,11.25,38.68218745348944
1188,1.6590702372450058e-10,16.875,38.68218745348944
1189,7.478669068477722e-10,19.6875,41.810314895778596
1190,1.8712029593079594e-10,14.0625,41.810314895778596
1191,4.902656426862363e-10,14.999999999999998,44.99388015045712
1192,6.006375107539875e-11,5.625,38.68218745348944
1193,9.778299515394607e-11,8.4375,41.810314895778596
1194,7.434642735812734e-11,2.8125000000000004,41.810314895778596
1195,1.0922774372691888e-10,3.0,44.99388015045712
1196,1.8749411054989145e-10,9.0,44.99388015045712
1197,4.234083674743582e-10,9.642857142857142,48.14120779436028
1198,1.927192336072469e-10,3.214285714285715,48.14120779436028
1199,4.3347831378580813e-10,3.4615384615384617,51.25580694880489
1200,2.78478984219002e-09,21.0,44.99388015045712
1201,1.3917717842554643e-08,22.5,48.14120779436028
1202,1.5727218949969425e-09,16.07142857142857,48.14120779436028
1203,6.755214259765118e-09,17.307692307692307,51.25580694880489
1208,1.21887201041073e-09,10.384615384615387,51.25580694880489
1209,4.65058917848607e-09,11.25,54.34091230386123
1210,1.2542731694379867e-09,3.7499999999999996,54.34091230386124
1211,5.010275163485641e-09,4.090909090909091,57.39952353962293
1236,9.720826234100043e-09,74.99999999999999,63.44828368030105
1237,1.2316600672065284e-10,84.375,66.44353569089876
1239,1.6437836528354864e-09,83.57142857142858,69.42254649458224
1280,4.596140409016672e-11,135.0,2.388015463268777
1281,6.277141200792574e-11,137.8125,4.780191847199159
1282,3.2468509031046865e-11,132.1875,4.780191847199159
1283,4.078326042574954e-11,135.0,7.180755781458282
1284,7.857735498089204e-11,140.625,7.180755781458282
1285,9.255874668513601e-11,143.4375,9.594068226860461
1286,4.981900559348049e-11,137.8125,9.594068226860461
